"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
00056145-ec26-4084-84ee-ae4a396a5a6e,047c514e-e1cb-4e81-8a65-0fce3490cf9d,"#N/A",(02) 7084 6511,"#N/A",Business Development,"#N/A",jmanningcongagdo+840@gmail.com,"#N/A",(02) 7084 6511,Emmalynne,"#N/A","#N/A",Errick,"#N/A",Canley Vale,Australia,"#N/A","#N/A","#N/A",2166,NSW,66 Beckenham St,0425 431 725,Canley Vale,Australia,"#N/A","#N/A","#N/A","#N/A",2166,NSW,66 Beckenham St,(02) 7084 6511,"#N/A","#N/A",Director of Business Development,Prodly,"#N/A","#N/A",false,false
00261dcd-ac14-4127-9ec3-27ca94a63ae9,7adf41b7-ce90-4424-8e4d-60f04116bb5a,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+152@gmail.com,"#N/A","#N/A",Constancia,"#N/A","#N/A",Louis,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",202-555-0103,"#N/A","#N/A",SVP - Global Marketing,Prodly,"#N/A","#N/A",false,false
004a8abd-0dac-4c79-b4c6-760c46fb7366,db21b59b-cee2-4108-9362-1c2ce229e483,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+445@gmail.com,"#N/A","#N/A",Linnet,"#N/A","#N/A",Alva,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(826) 246-3244,"#N/A","#N/A","Executive Vice President, External Affairs",Prodly,"#N/A","#N/A",false,false
00d9dba0-6fca-4e01-8399-bf4546b312aa,fc1ac98e-d31f-41dc-9e18-4e60bca6c1f6,"#N/A","#N/A","#N/A","#N/A","David Cordani became President and CEO of Cigna in 2009 and has spearheaded its transformation into a leading global health service company, doubling the size of the company in six years. He is a prominent voice addressing key health challenges, such as the empowering of individuals to manage their own health, innovating new health delivery models focused on patients’ health improvements, and partnering with physicians to focus on wellness, and improving clinical quality.",jmanningcongagdo+187@gmail.com,"#N/A","#N/A",Jeana,"#N/A","#N/A",Redford,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(535) 474-3781,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
01052229-d3be-4a0c-9804-c717e536bed0,f2946c47-4a64-4bea-a18a-ccd04b132e69,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+491@gmail.com,"#N/A","#N/A",Clarinda,"#N/A","#N/A",Brigg,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+33 0 1 42 14 20 00,"#N/A","#N/A",CIO,Prodly,"#N/A","#N/A",false,false
013df5c1-0c8c-4ff8-bbdb-b1d3d21f9113,dab43f6a-3720-4c63-894e-bbb0a190410a,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+149@gmail.com,"#N/A","#N/A",Nerta,"#N/A","#N/A",Car,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(652) 154-3164,"#N/A","#N/A",Contract Manager,Prodly,"#N/A","#N/A",false,false
0298856a-12ad-4627-b420-cf001e319b97,483e2263-ad3e-481b-9455-49bd97542a7e,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+557@gmail.com,"#N/A","#N/A",Ofilia,"#N/A","#N/A",Chariot,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(051) 212-3456,"#N/A","#N/A",CIO,Prodly,"#N/A","#N/A",false,false
02b98719-3fd0-4054-b1ea-df018f3e3dbb,025bae72-dc08-4e37-85da-3f9359201937,"#N/A",(08) 8051 6477,"#N/A",Business Development,"#N/A",jmanningcongagdo+783@gmail.com,"#N/A",(08) 8051 6477,Marylinda,"#N/A","#N/A",Tim,"#N/A",Bibra Lake,Australia,"#N/A","#N/A","#N/A",6163,WA,13 Joshua Cl,0416 484 426,Bibra Lake,Australia,"#N/A","#N/A","#N/A","#N/A",6163,WA,13 Joshua Cl,(08) 8051 6477,"#N/A","#N/A",EVP Business Development,Prodly,"#N/A","#N/A",false,false
02c2cee7-7a22-4863-a9a6-5105ccc0583f,a2acb900-6c89-450d-a1fb-ea7621d8039c,"#N/A","#N/A","#N/A","#N/A","Brian Cornell is board chairman and CEO of Target Corp. He is responsible for Target’s global business, including more than 1,800 U.S. stores and Target.com, more than 320,000 team members and millions of guests.",jmanningcongagdo+291@gmail.com,"#N/A","#N/A",Sybille,"#N/A","#N/A",Killie,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(354) 765-5274,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
03049fe0-d65b-493f-acbe-01d67f963018,d0aed0c8-dd2a-49b5-af99-330baaf4a4ac,"#N/A",(03) 7627 8781,"#N/A",CEO,"#N/A",jmanningcongagdo+3@gmail.com,"#N/A",(03) 7627 8781,Stormie,"#N/A","#N/A",Jason,"#N/A",Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,0410 524 770,Melbourne,Australia,"#N/A","#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,(03) 7627 8781,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0380714e-acab-4afe-bd65-b25944573fb1,3b26c58e-3217-4a23-b83a-9347cc16aa9e,"#N/A","#N/A",1972-04-17,"#N/A",Tim Wentworth is responsible for all aspects of the company’s strategic direction and core business. Tim was named President in 2014 and Chief Executive Officer in 2016. Tim joined Express Scripts when the company merged with Medco in April 2012.,jmanningcongagdo+519@gmail.com,"#N/A","#N/A",Kiele,"#N/A","#N/A",Gael,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(147) 717-0891,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0396d17e-df01-47d1-a570-3b4e69e81b0a,4e4e28ab-96ed-4cff-b379-5c4f7a404910,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+179@gmail.com,"#N/A","#N/A",Hannis,"#N/A","#N/A",Zedekiah,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(650) 974-1346,"#N/A","#N/A",Director,Prodly,"#N/A","#N/A",false,false
03c122d8-0fb9-4710-8358-36d6994442ed,8d34ba59-d898-4d2a-aa25-c92780a8c0f4,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+806@gmail.com,"#N/A","#N/A",Frederica,"#N/A","#N/A",Russ,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 4042,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
03c5dba6-9036-441c-ac7d-d35a1d12d2d7,2d151e51-9102-423f-8dd0-2c5585a0b772,"#N/A","#N/A",1978-03-18,"#N/A","For the last five years, Johnson has been a member of Textron’s executive leadership team, leading the company’s worldwide human resources function as well as corporate communications, corporate real estate, community affairs and the company's aviation department. Johnson’s 20-year career with Textron has included a number of human resources roles with increasing levels of responsibility within several of its businesses.",jmanningcongagdo+521@gmail.com,"#N/A","#N/A",Grazia,"#N/A","#N/A",Brendan,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(841) 618-5498,"#N/A","#N/A",CHRO,Prodly,"#N/A","#N/A",false,false
03e2311b-f6ad-4745-b3d5-d79254b58b79,ec191198-c826-45fe-a4c6-7cf1a5991de5,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+310@gmail.com,"#N/A","#N/A",Noemi,"#N/A","#N/A",Archy,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(402)952-5053,"#N/A","#N/A",CSO,Prodly,"#N/A","#N/A",false,false
04ef70c3-ecee-48f1-8768-175cfa8d1912,1e7f9fa4-522e-46e2-a11a-86da08a74c3e,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+859@gmail.com,"#N/A","#N/A",Lesley,"#N/A","#N/A",Abbot,"#N/A",CARODA,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,26 Dalgarno Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2347,"#N/A","#N/A",(03) 5338 4068,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
058f4359-984b-4fc5-88c0-6de17443aa42,6e0db8b0-870e-41f2-a6a2-b03ddbe9d294,"#N/A",(07) 8348 6058,"#N/A",Operations,"#N/A",jmanningcongagdo+143@gmail.com,"#N/A",(07) 8348 6058,Ilse,"#N/A","#N/A",Roman,"#N/A",Brisbane,Australia,"#N/A","#N/A","#N/A",4000,QLD,100 Roma St,0429 175 100,Brisbane,Australia,"#N/A","#N/A","#N/A","#N/A",4000,QLD,100 Roma St,(07) 8348 6058,"#N/A","#N/A",Head of Operations,Prodly,"#N/A","#N/A",false,false
0633a35c-8a3e-4c11-9746-f399803d23ee,8bad606c-a83f-4958-aaaf-7f6c5865c578,"#N/A","#N/A",1969-02-07,"#N/A","Ms. Gagle is vice president and general counsel of Marathon Petroleum Corporation. She is also vice president and general counsel of MPLX GP LLC. She currently serves on the boards of directors of the Blanchard Valley Health Foundation and the Ronald McDonald House Charities of Northwest Ohio, and as a member of the University of Toledo paralegal studies advisory board.",jmanningcongagdo+268@gmail.com,"#N/A","#N/A",Blinni,"#N/A","#N/A",Batholomew,"#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,555 Corporate Ave.,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(996) 965-3033,"#N/A","#N/A",VP and General Counsel,Prodly,"#N/A","#N/A",false,false
06954832-bebd-43a2-90fa-3ded17ed1d7d,d2ba5106-1ea8-4b29-8f54-b4f97d95d700,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+602@gmail.com,"#N/A","#N/A",Lucretia,"#N/A","#N/A",Cletus,"#N/A","#N/A",USA,"#N/A","#N/A","#N/A",45271,OH,08697 Ryan Junction,"#N/A",Cincinnati,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prodly,"#N/A","#N/A",false,false
0712f243-9efb-41b5-8b1a-dcf38b6a6d5b,4e4e28ab-96ed-4cff-b379-5c4f7a404910,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+180@gmail.com,"#N/A","#N/A",Jena,"#N/A","#N/A",Seth,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(650) 111-3465,"#N/A","#N/A",Director,Prodly,"#N/A","#N/A",false,false
071a8111-879d-485f-9c01-fc63c0201ed1,4dc3bef0-ba37-43f7-8a0f-08f37ab0c2b4,"#N/A",(02) 6454 7803,"#N/A",HR,"#N/A",jmanningcongagdo+103@gmail.com,"#N/A",(02) 6454 7803,Bella,"#N/A","#N/A",Ramon,"#N/A",Bondi,Australia,"#N/A","#N/A","#N/A",2026,NSW,178 Campbell Parade,0412 183 248,Bondi,Australia,"#N/A","#N/A","#N/A","#N/A",2026,NSW,178 Campbell Parade,(02) 6454 7803,"#N/A","#N/A",Director of Human Resources,Prodly,"#N/A","#N/A",false,false
